ticker,date,open,high,low,close,adj_close,volume,fetched_at
AAPL,2025-12-16,272.82000732421875,274.2799987792969,271.7900085449219,272.5799865722656,272.5799865722656,13508503,2025-12-16T17:50:11.828828+00:00
AMZN,2025-12-16,223.13999938964844,223.66000366210938,221.9008026123047,222.1199951171875,222.1199951171875,14878866,2025-12-16T17:50:11.828828+00:00
GOOGL,2025-12-16,304.7820129394531,310.7699890136719,303.0899963378906,303.8999938964844,303.8999938964844,12693296,2025-12-16T17:50:11.828828+00:00
META,2025-12-16,643.239990234375,654.5999755859375,643.2000122070312,650.7100219726562,650.7100219726562,4873972,2025-12-16T17:50:11.828828+00:00
MSFT,2025-12-16,471.9049987792969,475.3399963378906,470.8800048828125,472.9800109863281,472.9800109863281,7518437,2025-12-16T17:50:11.828828+00:00
NVDA,2025-12-16,176.25999450683594,177.49000549316406,174.89999389648438,176.5684051513672,176.5684051513672,75511662,2025-12-16T17:50:11.828828+00:00
TSLA,2025-12-16,472.2850036621094,482.05999755859375,465.8299865722656,478.2300109863281,478.2300109863281,57255106,2025-12-16T17:50:11.828828+00:00
^IXIC,2025-12-16,22981.818359375,23126.896484375,22935.41015625,22975.466796875,22975.466796875,3557180000,2025-12-16T17:50:11.828828+00:00
^NDX,2025-12-16,24991.494140625,25142.388671875,24922.935546875,24988.140625,24988.140625,528344828,2025-12-16T17:50:11.828828+00:00
^NDXE,2025-12-16,8691.3984375,8705.875,8634.4697265625,8653.5576171875,8653.5576171875,0,2025-12-16T17:50:11.828828+00:00
^VIX,2025-12-16,17.280000686645508,17.510000228881836,16.309999465942383,16.770000457763672,16.770000457763672,0,2025-12-16T17:50:11.828828+00:00
