ticker,date,open,high,low,close,adj_close,volume,fetched_at
AAPL,2025-12-15,,,,,,,2025-12-15T14:00:19.984631+00:00
AMZN,2025-12-15,,,,,,,2025-12-15T14:00:19.984631+00:00
GOOGL,2025-12-15,,,,,,,2025-12-15T14:00:19.984631+00:00
META,2025-12-15,,,,,,,2025-12-15T14:00:19.984631+00:00
MSFT,2025-12-15,,,,,,,2025-12-15T14:00:19.984631+00:00
NVDA,2025-12-15,,,,,,,2025-12-15T14:00:19.984631+00:00
TSLA,2025-12-15,,,,,,,2025-12-15T14:00:19.984631+00:00
^IXIC,2025-12-15,,,,,,,2025-12-15T14:00:19.984631+00:00
^NDX,2025-12-15,,,,,,,2025-12-15T14:00:19.984631+00:00
^NDXE,2025-12-15,,,,,,,2025-12-15T14:00:19.984631+00:00
^VIX,2025-12-15,16.510000228881836,16.520000457763672,16.079999923706055,16.079999923706055,16.079999923706055,0,2025-12-15T14:00:19.984631+00:00
