ticker,date,open,high,low,close,adj_close,volume,fetched_at
AAPL,2025-12-17,275.010009765625,276.1600036621094,271.69000244140625,271.8399963378906,271.8399963378906,49406521,2025-12-18T07:28:54.017892+00:00
AMZN,2025-12-17,224.55999755859375,225.19000244140625,221.19000244140625,221.27000427246094,221.27000427246094,43399540,2025-12-18T07:28:54.017892+00:00
GOOGL,2025-12-17,308.010009765625,308.0899963378906,296.1199951171875,296.7200012207031,296.7200012207031,43657061,2025-12-18T07:28:54.017892+00:00
META,2025-12-17,655.6099853515625,661.22998046875,649.2000122070312,649.4089965820312,649.4089965820312,14675497,2025-12-18T07:28:54.017892+00:00
MSFT,2025-12-17,476.9049987792969,479.8800048828125,475.2200012207031,476.1199951171875,476.1199951171875,23237698,2025-12-18T07:28:54.017892+00:00
NVDA,2025-12-17,176.10000610351562,176.1300048828125,170.30999755859375,170.94000244140625,170.94000244140625,221065490,2025-12-18T07:28:54.017892+00:00
TSLA,2025-12-17,488.2149963378906,495.239990234375,466.20001220703125,467.260009765625,467.260009765625,104916333,2025-12-18T07:28:54.017892+00:00
^IXIC,2025-12-17,23135.609375,23159.1953125,22692.00390625,22693.322265625,22693.322265625,7367024000,2025-12-18T07:28:54.017892+00:00
^NDX,2025-12-17,25167.861328125,25193.41015625,24647.60546875,24647.60546875,24647.60546875,1447474000,2025-12-18T07:28:54.017892+00:00
^NDXE,2025-12-17,8686.2451171875,8708.365234375,8570.4208984375,8570.6591796875,8570.6591796875,0,2025-12-18T07:28:54.017892+00:00
^VIX,2025-12-17,0.0,0.0,0.0,17.6200008392334,17.6200008392334,0,2025-12-18T07:28:54.017892+00:00
