Dividends,Stock Splits,Symbol
0.0,1.5,NVDA
0.001875,0.0,NVDA
0.001875,0.0,NVDA
0.001875,0.0,NVDA
0.001875,0.0,NVDA
0.002125,0.0,NVDA
0.002125,0.0,NVDA
0.002125,0.0,NVDA
0.002125,0.0,NVDA
0.002125,0.0,NVDA
0.002125,0.0,NVDA
0.00245,0.0,NVDA
0.00245,0.0,NVDA
0.002875,0.0,NVDA
0.002875,0.0,NVDA
0.002875,0.0,NVDA
0.002875,0.0,NVDA
0.0035,0.0,NVDA
0.0035,0.0,NVDA
0.0035,0.0,NVDA
0.0035,0.0,NVDA
0.00375,0.0,NVDA
0.00375,0.0,NVDA
0.00375,0.0,NVDA
0.00375,0.0,NVDA
0.004,0.0,NVDA
0.004,0.0,NVDA
0.004,0.0,NVDA
0.004,0.0,NVDA
0.004,0.0,NVDA
0.004,0.0,NVDA
0.004,0.0,NVDA
0.004,0.0,NVDA
0.004,0.0,NVDA
0.004,0.0,NVDA
0.004,0.0,NVDA
0.0,4.0,NVDA
0.004,0.0,NVDA
0.004,0.0,NVDA
0.004,0.0,NVDA
0.004,0.0,NVDA
0.004,0.0,NVDA
0.004,0.0,NVDA
0.004,0.0,NVDA
0.004,0.0,NVDA
0.004,0.0,NVDA
0.004,0.0,NVDA
0.004,0.0,NVDA
0.0,10.0,NVDA
0.01,0.0,NVDA
0.01,0.0,NVDA
0.01,0.0,NVDA
0.01,0.0,NVDA
0.01,0.0,NVDA
0.01,0.0,NVDA
0.01,0.0,NVDA
0.5,0.0,META
0.5,0.0,META
0.5,0.0,META
0.5,0.0,META
0.525,0.0,META
0.525,0.0,META
0.525,0.0,META
